statenum,casenum,numfatal,speeding,body,class
37,433,1,0,4,small
12,41,1,0,14,large
12,1701,1,0,15,large
26,719,1,0,4,small
34,1,1,0,34,large
35,82,1,0,4,small
36,587,1,0,4,small
37,425,1,0,4,small
48,2822,1,0,4,small
12,601,1,0,2,small
21,632,1,0,4,small
26,316,1,0,14,large
42,574,1,1,6,small
41,97,1,0,67,large
42,955,2,1,2,small
47,21,1,0,34,large
18,208,1,0,15,large
22,647,1,1,4,small
12,271,1,0,4,small
19,54,1,0,14,large
22,235,1,0,34,large
39,858,2,0,5,small
9,204,1,0,34,large
29,743,1,0,4,small
6,496,1,0,4,small
9,212,1,0,34,large
39,255,1,0,78,large
40,443,1,0,34,large
48,1346,1,0,4,small
48,2237,1,0,34,large
21,691,1,0,15,large
39,954,1,0,4,small
48,303,1,0,34,large
8,239,1,1,4,small
32,131,1,0,34,large
39,298,1,0,4,small
48,2917,1,1,16,large
6,439,1,0,14,large
12,2058,1,0,34,large
17,535,1,0,14,large
17,765,1,0,4,small
19,69,1,0,34,large
19,111,1,1,4,small
20,186,1,0,14,large
34,35,1,0,4,small
35,149,1,0,15,large
37,1219,1,0,34,large
42,494,1,0,14,large
42,724,1,0,4,small
48,1129,1,0,21,large
48,3131,1,0,5,small
4,799,1,0,4,small
22,379,2,0,20,large
30,2,1,1,14,large
34,216,1,1,4,small
36,217,1,0,4,small
37,795,1,1,4,small
24,159,1,0,34,large
28,312,1,0,34,large
36,225,1,0,4,small
48,2460,1,0,4,small
17,600,1,1,4,small
18,557,1,0,34,large
21,112,1,0,6,small
37,558,1,0,20,large
41,388,1,0,3,small
48,2531,1,0,67,large
8,398,4,0,4,small
17,362,1,1,14,large
29,242,1,1,34,large
39,659,1,0,15,large
48,1405,1,0,15,large
41,315,1,0,4,small
12,1412,1,0,14,large
37,984,1,1,4,small
40,319,1,0,34,large
40,469,1,0,4,small
48,263,2,1,34,large
48,803,1,1,4,small
6,337,2,1,34,large
6,2854,1,0,34,large
6,3081,1,0,4,small
12,223,1,0,20,large
12,1334,1,0,34,large
17,41,1,0,4,small
36,56,1,0,6,small
42,290,2,0,14,large
45,616,1,1,14,large
48,572,4,1,39,large
48,2064,1,0,34,large
6,1202,1,0,15,large
51,689,1,0,34,large
6,165,1,1,6,small
48,1465,2,0,2,small
48,1778,1,0,1,small
6,3270,1,0,4,small
17,78,2,0,4,small
17,977,1,0,6,small
4,47,1,0,4,small
29,816,2,1,4,small
45,275,1,1,4,small
48,1092,1,0,6,small
13,184,1,0,16,large
19,159,1,0,14,large
21,262,1,0,4,small
35,33,1,0,14,large
1,316,1,0,4,small
9,223,1,1,2,small
12,2683,1,0,6,small
12,2699,1,0,14,large
26,815,1,0,4,small
39,1086,1,0,14,large
44,10,1,1,14,large
45,140,1,0,34,large
1,732,1,0,34,large
18,663,1,0,14,large
24,278,1,0,4,small
37,668,1,0,34,large
48,324,1,1,15,large
17,962,1,1,4,small
49,95,1,0,4,small
4,502,2,0,4,small
12,124,1,0,34,large
42,355,1,1,2,small
48,9,1,0,34,large
13,1278,1,0,15,large
29,461,1,0,5,small
34,344,1,0,5,small
35,15,3,0,4,small
42,769,1,0,20,large
35,54,2,0,4,small
22,424,1,1,34,large
25,152,1,0,4,small
48,693,1,0,34,large
4,264,1,1,4,small
12,2428,1,0,34,large
13,937,1,0,4,small
21,194,1,0,20,large
36,935,1,0,67,large
47,349,1,0,4,small
6,2873,1,1,2,small
26,156,1,1,4,small
38,33,1,0,4,small
39,1015,1,0,78,large
40,539,1,0,34,large
48,1379,3,0,15,large
12,709,1,0,4,small
21,30,1,0,2,small
32,165,1,1,5,small
6,812,1,0,14,large
26,580,1,1,34,large
34,396,1,0,14,large
39,949,1,1,14,large
6,1231,1,1,4,small
12,2275,1,0,34,large
37,1123,1,0,34,large
42,703,1,0,14,large
4,75,1,0,4,small
6,3250,1,1,4,small
20,26,1,0,4,small
56,58,1,0,21,large
4,83,1,0,4,small
6,3219,1,0,2,small
20,34,1,0,4,small
48,520,1,0,34,large
55,314,1,0,20,large
55,429,1,0,14,large
39,202,1,0,4,small
56,24,1,0,34,large
6,3242,1,1,4,small
12,431,1,0,14,large
51,178,1,0,10,small
56,32,1,0,34,large
26,3,1,0,4,small
48,1038,1,0,34,large
16,14,1,0,4,small
20,404,1,1,4,small
34,457,1,0,21,large
42,972,2,1,34,large
48,2455,2,0,34,large
55,75,1,1,15,large
17,162,1,1,20,large
37,420,1,1,14,large
48,1018,1,1,34,large
48,1164,1,1,15,large
48,2821,1,0,15,large
6,49,1,0,4,small
8,30,1,1,4,small
13,851,1,0,16,large
18,322,1,0,4,small
8,231,2,0,5,small
12,505,2,1,4,small
23,55,1,1,4,small
28,623,1,0,4,small
37,113,1,1,34,large
37,125,1,0,34,large
48,1586,2,0,34,large
12,2881,1,0,21,large
13,1258,1,1,14,large
48,795,1,0,4,small
8,482,1,0,34,large
26,42,1,1,15,large
42,104,1,0,14,large
10,76,1,0,5,small
24,458,1,1,6,small
45,440,1,0,4,small
47,41,1,0,34,large
48,955,1,0,14,large
48,2862,1,0,5,small
12,231,1,1,20,large
12,324,1,0,2,small
26,747,1,0,4,small
48,941,1,1,1,small
51,11,1,0,6,small
53,528,1,0,5,small
12,910,1,0,4,small
12,2409,1,0,6,small
12,2878,1,0,2,small
18,785,1,0,2,small
37,71,1,0,4,small
48,1312,1,0,34,large
50,8,1,1,14,large
4,556,1,0,34,large
6,604,1,0,5,small
9,129,1,0,14,large
12,1489,1,0,4,small
12,1732,1,1,34,large
13,872,1,0,6,small
36,949,1,0,4,small
41,170,1,0,15,large
6,2950,1,1,34,large
35,283,1,0,4,small
39,905,1,0,14,large
42,579,1,0,4,small
47,109,1,0,2,small
47,445,1,0,14,large
6,1714,1,1,4,small
8,415,1,1,6,small
8,530,1,0,1,small
13,91,1,0,34,large
13,1146,1,0,4,small
21,250,2,0,14,large
22,693,1,0,34,large
34,527,1,1,1,small
17,982,1,0,4,small
1,293,1,0,2,small
6,1469,1,1,4,small
6,3222,1,0,20,large
9,242,2,1,14,large
37,704,1,0,34,large
6,343,1,1,4,small
12,2735,1,1,14,large
18,409,1,0,15,large
29,274,4,0,21,large
39,217,1,1,14,large
48,754,1,0,14,large
6,2676,1,0,2,small
8,440,1,0,4,small
12,1506,1,0,2,small
12,1993,2,0,4,small
48,3424,1,0,15,large
13,599,1,0,14,large
17,292,1,0,34,large
17,752,1,0,14,large
24,475,1,1,4,small
24,487,1,0,4,small
42,148,1,1,14,large
42,326,2,0,6,small
4,301,1,0,3,small
9,170,1,0,4,small
12,1244,1,0,4,small
