,Names,Rating,Year
0,The Shawshank Redemption,9.2,1994
1,The Godfather,9.2,1972
2,The Godfather: Part II,9.0,1974
3,The Dark Knight,8.9,2008
4,12 Angry Men,8.9,1957
5,Schindler's List,8.9,1993
6,Pulp Fiction,8.9,1994
7,The Lord of the Rings: The Return of the King,8.9,2003
8,"The Good, the Bad and the Ugly",8.8,1966
9, Fight Club,8.8,1999
10, The Lord of the Rings: The Fellowship of the Ring,8.8,2001
11, Star Wars: Episode V - The Empire Strikes Back,8.7,1980
12, Forrest Gump,8.7,1994
13, Inception,8.7,2010
14, The Lord of the Rings: The Two Towers,8.7,2002
15, One Flew Over the Cuckoo's Nest,8.7,1975
16, Goodfellas,8.7,1990
17, The Matrix,8.7,1999
18, Seven Samurai,8.6,1954
19, Star Wars: Episode IV - A New Hope,8.6,1977
20, City of God,8.6,2002
21, Se7en,8.6,1995
22, The Silence of the Lambs,8.6,1991
23, It's a Wonderful Life,8.6,1946
24, The Usual Suspects,8.6,1995
25, Life Is Beautiful,8.6,1997
26, Léon: The Professional,8.5,1994
27, Spirited Away,8.5,2001
28, Saving Private Ryan,8.5,1998
29, Once Upon a Time in the West,8.5,1968
30, American History X,8.5,1998
31, Interstellar,8.5,2014
32, Casablanca,8.5,1942
33, Psycho,8.5,1960
34, City Lights,8.5,1931
35, Raiders of the Lost Ark,8.5,1981
36, The Green Mile,8.5,1999
37, The Intouchables,8.5,2011
38, Modern Times,8.5,1936
39, Rear Window,8.5,1954
40, Terminator 2: Judgment Day,8.5,1991
41, The Pianist,8.5,2002
42, The Departed,8.5,2006
43, Back to the Future,8.5,1985
44, Whiplash,8.5,2014
45, Gladiator,8.5,2000
46, Memento,8.5,2000
47, Apocalypse Now,8.5,1979
48, The Prestige,8.5,2006
49, The Lion King,8.5,1994
50, Alien,8.4,1979
51, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
52, Sunset Blvd.,8.4,1950
53, The Great Dictator,8.4,1940
54, The Lives of Others,8.4,2006
55, Cinema Paradiso,8.4,1988
56, Paths of Glory,8.4,1957
57, Django Unchained,8.4,2012
58, The Shining,8.4,1980
59, Grave of the Fireflies,8.4,1988
60, WALL·E,8.4,2008
61, The Dark Knight Rises,8.4,2012
62, American Beauty,8.4,1999
63, Princess Mononoke,8.4,1997
64, Aliens,8.4,1986
65, Oldeuboi,8.4,2003
66, Once Upon a Time in America,8.4,1984
67, Citizen Kane,8.3,1941
68, Das Boot,8.3,1981
69, Witness for the Prosecution,8.3,1957
70, North by Northwest,8.3,1959
71, Vertigo,8.3,1958
72, Star Wars: Episode VI - Return of the Jedi,8.3,1983
73, M,8.3,1931
74, Reservoir Dogs,8.3,1992
75, Braveheart,8.3,1995
76, Amélie,8.3,2001
77, Requiem for a Dream,8.3,2000
78, A Clockwork Orange,8.3,1971
79, Taxi Driver,8.3,1976
80, Lawrence of Arabia,8.3,1962
81, Double Indemnity,8.3,1944
82, To Kill a Mockingbird,8.3,1962
83, Babam ve Oglum,8.3,2005
84, Toy Story 3,8.3,2010
85, Eternal Sunshine of the Spotless Mind,8.3,2004
86, Taare Zameen Par,8.3,2007
87, Amadeus,8.3,1984
88, Full Metal Jacket,8.3,1987
89, The Sting,8.3,1973
90, Hacksaw Ridge,8.3,2016
91, 2001: A Space Odyssey,8.3,1968
92, Bicycle Thieves,8.3,1948
93, Toy Story,8.3,1995
94, Arrival,8.3,2016
95, Snatch,8.3,2000
96, Singin' in the Rain,8.3,1952
97, Inglourious Basterds,8.3,2009
98, The Kid,8.3,1921
99,  Monty Python and the Holy Grail,8.3,1975
100,  L.A. Confidential,8.3,1997
101,  For a Few Dollars More,8.3,1965
102,  3 Idiots,8.3,2009
103,  Rashômon,8.3,1950
104,  Scarface,8.3,1983
