,names,release,runtime,scores,user_score
0,The Godfather,11-Mar-72,175,100,9.1
1,Boyhood,11-Jul-14,165,100,7.7
2,Three Colors: Red,23-Nov-94,99,100,8.2
3,Moonlight,21-Oct-16,111,99,7.7
4,Pan's Labyrinth,29-Dec-06,118,98,8.6
5,Hoop Dreams,14-Oct-94,170,98,8.2
6,"4 Months, 3 Weeks and 2 Days",23-Jan-08,113,97,7.9
7,Ran,20-Dec-85,162,96,8.3
8,12 Years a Slave,18-Oct-13,134,96,8
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,29-Jan-64,95,96,8.3
10,Ratatouille,29-Jun-07,111,96,8.6
11,Gravity,4-Oct-13,91,96,7.8
12,Manchester by the Sea,18-Nov-16,137,96,8.8
13,Beauty and the Beast,22-Nov-91,84,95,0
14,Carol,20-Nov-15,118,95,7.9
15,Toy Story,22-Nov-95,81,95,9
16,The Social Network,1-Oct-10,120,95,8.2
17,Zero Dark Thirty,19-Dec-12,157,95,6.8
18,A Separation,30-Dec-11,123,95,8.8
19,Before Midnight,24-May-13,109,94,8.3
20,45 Years,23-Dec-15,95,94,7.4
21,The Manchurian Candidate,24-Oct-62,126,94,8.4
22,Spirited Away,20-Sep-02,125,94,9
23,Pulp Fiction,14-Oct-94,154,94,9
24,Killer of Sheep,30-Mar-07,83,94,6.9
25,Mr. Turner,19-Dec-14,150,94,6.9
26,The Hurt Locker,26-Jun-09,131,94,7.3
27,Toni Erdmann,25-Dec-16,162,94,0
28,WALL-E,27-Jun-08,98,94,8.9
29,Sideways,22-Oct-04,126,94,6.7
30,We Were Here,9-Sep-11,90,94,7.1
31,The Lord of the Rings: The Return of the King,17-Dec-03,201,94,9
32,Inside Out,19-Jun-15,94,94,8.7
33,Carlos,15-Oct-10,325,94,7.8
34,Maborosi,21-Mar-97,110,94,0
35,Amour,19-Dec-12,127,94,8
36,The Servant,16-Mar-64,116,93,8.1
37,Reversal of Fortune,17-Oct-90,111,93,7.8
38,"Crouching Tiger, Hidden Dragon",8-Dec-00,120,93,7.9
39,Spotlight,6-Nov-15,128,93,8.1
40,Schindler's List,15-Dec-93,195,93,8.6
41,Jackie,2-Dec-16,99,93,0
42,Sherpa,2-Oct-15,96,93,7.6
43,Sita Sings the Blues,25-Dec-09,82,93,7.4
44,Days of Heaven,13-Sep-78,94,93,8.8
45,Crumb,28-Apr-95,119,93,8.3
46,Inside Llewyn Davis,6-Dec-13,104,92,7.7
47,One More Time with Feeling,8-Sep-16,112,92,8.5
48,Yi Yi,6-Oct-00,173,92,8.4
49,The Diving Bell and the Butterfly,30-Nov-07,112,92,8.3
50,The Class,19-Dec-08,128,92,7.3
51,Raging Bull,14-Nov-80,0,92,6.4
52,35 Shots of Rum,16-Sep-09,100,92,6.1
53,Star Wars: Episode IV - A New Hope,25-May-77,121,92,8.7
54,The Red Turtle,18-Nov-16,80,92,0
55,Timbuktu,28-Jan-15,97,92,7.2
56,There Will Be Blood,26-Dec-07,158,92,7.9
57,Tower,12-Oct-16,96,92,7.8
58,Close Encounters of the Third Kind,16-Nov-77,135,92,7.7
59,The Lord of the Rings: The Fellowship of the Ring,19-Dec-01,178,92,9
60,Leviathan,25-Dec-14,140,92,7.3
61,Werckmeister Harmonies,10-Oct-01,145,92,7.7
