part,name,type,builds,price_low,price_high,release,in_progress,mockups,vendors,image
13090,FrSky XM+ SBUS Mini Receiver,rx,232,12.95,19.31,11/25/2016,60,160,29,http://www.helidirect.com/media/catalog/product/cache/1/image/750x/040ec09b1e35df139433887a97daa66f/x/m/xmr-p.jpg
13080,Eachine VTX03 Super Mini 5.8G 72CH 0/25mW/50mw/200mW Switchable FPV Transmitter,tx,126,10.99,16.99,1/9/2017,41,112,6,http://cdn3.bigcommerce.com/s-ayhvy/products/235/images/1065/1489720491_24__92981.1497682691.386.513.JPG?c=2
13082,Unify Pro HV Race Edition - TBS 5G8 SMA,tx,167,22.9,40.19,7/4/2016,41,128,35,http://cdn.shopify.com/s/files/1/2089/8963/products/unifyprorace_grande.jpg?v=1499233173
13111,RunCam Swift 2,fpvcamera,151,39.99,44.99,12/17/2016,35,102,12,http://cdn.shopify.com/s/files/1/1285/4651/products/SWIFT2-6__74956.1483954053.1280.1280_1024x1024.jpg?v=1486663377
13128,FrSky XSR 2.4GHz 16CH  Receiver,rx,260,14.99,51.9,4/19/2016,45,118,17,http://cdn4.zoeysite.com/Adzpo594RQGDpLcjBynL1z/cache=expiry:31536000/compress/http://s3.amazonaws.com/zcom-media/sites/a0i0L00000QyvG7QAJ/media/catalog/product/d/s/dsc_0150_1.jpg
13099,Betaflight F3 Flight Controller,fc,107,36.1,479,12/12/2016,35,73,18,http://cdn.shopify.com/s/files/1/0991/6686/products/Betaflight-F3-Flight-Controller_grande.jpg?v=1485382489
13113,RunCam Micro Swift FPV Camera,fpvcamera,54,29.99,53.9,6/1/2017,16,24,17,http://pirofliprc.com/assets/images/microswift-4__69376149275106712801280.jpg
13123,Martian II 220 220mm 4mm Arm Thickness Carbon Fiber Frame Kit w/ PDB For FPV Racing,frame,53,26.1,31.99,6/23/2016,27,98,2,https://img.banggood.com/thumb/view/oaupload/banggood/images/78/D2/c0142f9b-4b08-4ce1-897c-35eae9b6fccb.jpg
13088,Armattan Chameleon Frame 5,frame,71,91.5,132,1/23/2017,21,68,10,http://cdn.shopify.com/s/files/1/1412/2072/products/Chameleon_Frame_Silver_4__00169.1485327389.1280.1280_copy_grande.jpg?v=1493122537
14288,TBS Unify Pro 5G8 HV (SMA),tx,84,49.95,69.95,8/30/2016,23,43,20,http://cdn.shopify.com/s/files/1/2089/8963/products/tbs_unify_hv_grande.jpg?v=1499233197
13551,DYS F4 Omnibus Flight Controller w/ PDB & BEC (MPU6000 / 30.5x30.5mm),fc,41,30.44,49.99,4/15/2017,16,45,15,https://img1.banggood.com/thumb/view/oaupload/banggood/images/8C/B3/70b3a565-e725-4c3d-aa59-490584a17d34.jpg
1037,Matek Systems PDB-XT60 W/ BEC 5V & 12V 2oz Copper For RC Multirotors,pdb,63,6.19,6.19,7/6/2016,26,65,1,https://img3.banggood.com/thumb/view/oaupload/banggood/images/B0/AB/e17fa903-1d55-40c1-8e6b-73dfce1ec88c.jpg
13114,RunCam Swift Rotor Riot Special Edition IR Block - Black,fpvcamera,102,39.99,74.9,12/4/2016,17,64,7,https://images-na.ssl-images-amazon.com/images/I/41b7GnKhckL.jpg
13083,Brotherhobby Tornado T1 1407 3600KV,motor,74,13.99,61.75,10/10/2016,16,32,16,http://cdn.shopify.com/s/files/1/2089/8963/products/bh-t1-1407_grande.jpg?v=1499226913
13619,Foxeer Monster V2 1200TVL 1/3 CMOS 16:9 PAL/NTSC IR Block FPV Camera w/ OSD and Audio,fpvcamera,34,32.4,45,3/6/2017,17,43,10,http://www.helidirect.com/media/catalog/product/cache/1/image/750x/040ec09b1e35df139433887a97daa66f/m/o/monster-blue.jpg
13104,EMAX RS2205S 2300kv Red Bottom Racing FPV Motor,motor,72,19.99,79.99,8/21/2016,24,74,11,https://www.emaxmodel.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/8/j8bts3.png
13868,TBS Triumph 5.8 GHz Antenna - SMA,antenna,186,10.76,39.99,6/5/2016,25,94,21,http://cdn.shopify.com/s/files/1/1246/1615/products/tbs-triumph-antenna-lead_1_1_grande.jpg?v=1463020195
13118,"Foxeer Arrow V3 2.5mm Lens FPV Camera with Built-in OSD - Blue, Silver, Black, Orange",fpvcamera,62,38,55,8/21/2016,9,61,8,http://cdn.shopify.com/s/files/1/1285/4651/products/05838707-8df7-4ba9-933d-240630e50792_1024x1024.jpg?v=1487692467
2929,4X Racerstar Racing Edition 2205 BR2205 2300KV 2-4S Brushless Motor 2 CW & 2 CCW For QAV250 ZMR250,motor,31,28.45,28.45,8/7/2016,18,45,1,https://img2.banggood.com/thumb/view/oaupload/banggood/images/E3/41/b7311dbc-525d-4f17-abda-b034b261d1d6.jpg
13618,Foxeer XAT600M HS1177 600TVL CCD 2.8MM IR Mini FPV Camera IR Blocked 5-22v with Bracket,fpvcamera,101,28.9,52.12,5/16/2016,14,53,5,https://img1.banggood.com/thumb/view/oaupload/banggood/images/4F/46/53903e76-d863-4a22-a6eb-f7fb0a60b0c7.jpg
2667,10 Pairs Kingkong 5040 5x4x3 3-Blade Single Color CW CCW Propellers for FPV Racer,prop,48,6.86,6.86,8/26/2016,15,100,1,https://img.banggood.com/thumb/view/oaupload/banggood/images/98/EA/3768db7f-60c5-4520-be65-b0e635103dfa.jpg
13129,FrSky X4RSB 3/16 Channel Telemetry Receiver,rx,144,22.55,38.95,3/2/2016,15,93,29,http://cdn.shopify.com/s/files/1/1285/4651/products/x4rsb_naked2_1024x1024.jpg?v=1492526756
13112,RunCam Swift Mini,fpvcamera,26,34.99,34.99,3/20/2017,13,29,6,http://img1.banggood.com/thumb/view/oaupload/banggood/images/B6/62/0a0d5a51-13a8-4778-b1b7-ab121b708195.jpg
3461,4X Racerstar RS30A V2 30A Blheli_S ESC OPTO 2-4S Support Oneshot42 Multishot 16.5 Dshot600,esc,46,49,49,8/26/2016,19,69,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/20/C0/206948ec-344a-48ab-935c-ab90c81d9334.jpg
5443,Eachine TX526 5.8G 40CH 25MW/200MW/600MW Switchable AV Wireless FPV Transmitter RP-SMA Female,tx,43,12.59,12.59,1/30/2017,19,69,1,https://img2.banggood.com/thumb/view/oaupload/banggood/images/2E/B9/e22eea35-0e9e-44b9-add8-79d2f09f7c4c.jpg
13097,KISS FC - 32bit Flight Controller,fc,146,31.19,69.9,5/9/2016,18,97,25,https://hobbyking.com/media/catalog/product/cache/1/image/565x414/9df78eab33525d08d6e5fb8d27136e95/legacy/catalog/107139.jpg
13101,EMAX RS2306 White Edition 2400kv FPV Racing Motor,motor,30,22.99,88.99,3/4/2017,8,26,12,http://gloimg.gearbest.com/gb/pdm-product-pic/Electronic/2017/02/23/goods-img/1487811778166202209.jpg
7521,2 Pair DALPROP T5045C Cyclone 5 Inch 3 Blade Propeller Clover Prop Black Red Orange Green,prop,11,4.48,4.48,1/29/2017,11,28,1,http://img3.banggood.com/thumb/view/oaupload/banggood/images/56/00/ed96b865-3d33-4ee2-9087-4c8d33d266e6.jpg
14292,Tramp HV 600mW 5.8GHz Video Transmitter,tx,53,39.99,59.95,10/17/2016,16,33,17,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/immersionrc-tramp-vtx_1.jpg
13260,Spedix 30a ESC HV 3-6s DSHOT 600 BLheli_S,esc,49,11.95,46.99,1/9/2017,17,32,10,http://cdn.shopify.com/s/files/1/1285/4651/products/es30-hv-2_1024x1024.jpg?v=1484069048
13092,TBS Triumph-STUB SMA(RHCP 2PCS),antenna,60,39,52.69,1/3/2017,14,23,9,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/b/tbs-triumph-stub-sma-rhcp-2pcs.jpg
60,Aomway 5.8GHz FPV 4 Leaf Clover AV Transmission RHCP Antenna 1 Pair Blue Red with Canopy,antenna,67,11.99,11.99,12/11/2015,14,66,1,http://img.banggood.com/thumb/view/upload/2014/12/SKU190011-5.jpg
5281,FrSky X4R-SB - 3/16 Channel Receiver with SBUS and CPPM without pins,rx,73,24.99,24.99,1/14/2017,16,31,1,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/r/frsky-x4r-sb-3-16-channel-receiver-with-sbus-and-cppm-without-pins_2.jpg
4157,Infinity 4S 14.8V 1500mAh 70C Graphene LiPo Battery XT60 Support 15C Boosting Charger For Racer Drone,battery,24,21.89,21.89,5/20/2017,19,57,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/7A/00/19429d4b-e7b4-436a-8da5-db6abc8314d4.jpg
3459,Tattu 1300mAh 75C 4S1P lipo battery pack,battery,61,28.99,28.99,9/25/2016,11,34,1,http://pirofliprc.com/assets/images/cc4a4820_1.jpg
14291,TBS UNIFY PRO 5G8 V2 (RP-SMA),tx,67,39.95,39.95,5/4/2016,11,27,2,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/b/tbs-unify-pro-5g8-lead.jpg
14290,TBS Unify Pro 5G8 V2,tx,46,38.9,52.95,6/5/2016,15,29,21,http://cdn.shopify.com/s/files/1/2089/8963/products/tbs_unify_58_2_grande.jpg?v=1499233209
13098,KISS 24A ESC Race Edition - 32bit Brushless Motor Ctrl,esc,95,20.79,94.99,3/2/2016,15,74,14,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/i/kiss-32bit-esc-v1-02.jpg
4625,Flysky X6B 2.4G 6CH i-BUS PPM PWM Receiver for AFHDS i10 i6s i6 i6x i4x Transmitter,rx,58,9.49,9.49,11/14/2016,13,45,1,https://img3.banggood.com/thumb/view/oaupload/banggood/images/E5/F0/77b693fb-e051-4075-a988-e4caa256d699.JPG
13130,Spektrum - DSMX Quad Race Receiver with Diversity (SPM4648),rx,101,24.99,34.99,2/4/2016,13,45,4,https://images-na.ssl-images-amazon.com/images/I/31eRCQCH4SL.jpg
13557,EMAX D-SHOT Bullet Series 30A ESC (BLHELI_S),esc,26,12.99,21.99,3/9/2017,9,13,6,https://img.banggood.com/thumb/view/oaupload/banggood/images/2A/75/c4902283-7b1e-4b29-8139-988605a4bf6f.jpg
2969,F3 Flight Controller Acro 6 DOF/Deluxe 10 DOF for Multirotor Racing,fc,41,21.99,21.99,3/29/2016,15,71,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/A3/F5/4db3b7f4-993d-4b18-8372-04656336afaf.jpg
13091,Team BlackSheep TBS TRIUMPH 5.8GHz Antenna SMA (RHCP 2PCS),antenna,68,39,53.61,6/9/2016,19,43,14,https://images-na.ssl-images-amazon.com/images/I/41Qkm9xLIcL.jpg
9473,DALPROP T5046C Cyclone (2 CW 2 CCW),prop,21,2.99,2.99,3/28/2017,9,6,1,http://pirofliprc.com/assets/images/1484397548980291778images800x617.jpg
14289,TBS Unify Pro 5G8 HV (RP-SMA),tx,64,49.95,49.99,4/19/2016,6,40,5,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/e/lead_7_7.jpg
14427,TBS Unify Pro 5G8 Linear Whip Antenna (with U.FL connector),antenna,43,6.95,9.99,9/19/2016,4,10,11,http://cdn6.bigcommerce.com/s-jiw45qq0po/products/421/images/1083/tbs-linear-whip-antenna-1001__29360.1492633308.500.750.jpg?c=2
3447,Racerstar RS20Ax4 20A 4 in 1 Blheli_S Opto ESC 2-4S Support Dshot150 Dshot300 for FPV Racer,esc,30,24.39,24.39,10/15/2016,6,40,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/EE/E3/272687d8-ddf1-4000-b993-0a66c16ef4e9.jpg
13086,Armattan Japalura 3? Frame,frame,16,67,74.5,4/30/2017,9,14,7,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/r/armattan-japalula-purple.jpg
13115,RunCam Swift Mini Camera - Black,fpvcamera,25,34.99,34.99,3/25/2017,11,13,8,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/_/1_53.jpg
8051,Eachine 1000TVL 1/3 CCD 110 Degree 2.8mm Lens Wide Voltage 5-20V Mini FPV Camera NTSC PAL Switchable,fpvcamera,14,12.99,12.99,2/13/2017,7,26,1,http://img2.banggood.com/thumb/view/oaupload/banggood/images/A3/F5/22b9171d-d5fb-485d-ac1f-c4cfd18d27cb.jpg
3137,"DAL Cyclone Tri-Blade 5"" Prop - T5046C 5""",none,56,2.99,2.99,8/21/2016,11,22,1,http://cdn.shopify.com/s/files/1/1285/4651/products/1484397548294193970.images.800x617_1024x1024.jpg?v=1494459943
13089,GEP-LX5 Leopard,frame,13,48.99,53.99,5/1/2017,5,10,3,http://geprc.com/wp-content/uploads/2017/03/IMG_7081-600x600.jpg
9122,TransTEC Frog Race Frog Lite 218mm Carbon Fiber 4mm Arm X Frame DIY Frame Kit,frame,5,27.99,27.99,3/15/2017,9,17,1,https://img.banggood.com/thumb/view/oaupload/banggood/images/21/D7/58e195cc-8489-4877-a681-2cbe4db4a4cb.jpg
10712,EMAX PAGODA II ANTENNA BY MAARTEN BAERT,antenna,20,14.99,14.99,4/30/2017,5,9,1,http://pirofliprc.com/assets/images/img_6467__80159149151484712801280.jpg
14428,Runcam Split Orange WDR WiFi FPV Camera 1080P 60fps HD Recorder Support 64G TF NTSC PAL Low Latency TV-out,fpvcamera,8,69.99,79.9,5/23/2017,3,12,6,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/u/runcam-split_1_1.jpg
13096,KISS CompactCTRL CC All-in-One (FC + 16A ESC x4),fc,26,99,99.99,2/1/2017,3,21,6,https://flyduino.net/bilder/produkte/gross/KISS-CompactCTRL-CC-All-in-One.jpg
7034,4X Racerstar Racing Edition 2205S BR2205S 2300KV 2-4S Brushless Motor For X210 220 QAV250 FPV Frame,motor,5,29.99,29.99,1/5/2017,9,23,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/76/96/81c01afb-0284-4c5e-a4fd-ab1964f81e17.jpg
3956,"RaceKraft 5051 5"" Tri-Blade Prop - Smoke, Blue, Clear, Emerald",prop,62,3.99,3.99,10/28/2016,8,27,1,http://cdn.shopify.com/s/files/1/1285/4651/products/racekraft-5051-propeller-smoke_1024x1024.jpg?v=1493678104
