first_name,last_name,height_feet,height_inches,weight,debut_year,birthdate,country,years_pro,jersey,position,college
Alex,Abrines,6,6,200,2016,8/1/1993,Spain,2,8,G,
Jaylen,Adams,6,2,190,2018,5/4/1996,USA,0,10,G,St. Bonaventure
Steven,Adams,7,0,265,2013,7/20/1993,New Zealand,5,12,C,Pittsburgh
Bam,Adebayo,6,10,255,2017,7/18/1997,USA,1,13,C-F,Kentucky
DeVaughn,Akoon-Purcell,6,6,200,,6/5/1993,Trinidad and Tobago,0,23,G-F,Illinois State
LaMarcus,Aldridge,6,11,260,2006,7/19/1985,USA,12,12,F,Texas
Rawle,Alkins,6,5,225,,10/29/1997,,0,20,G,
Grayson,Allen,6,5,198,,10/8/1995,USA,0,24,G,Duke
Jarrett,Allen,6,11,237,2017,4/21/1998,USA,1,31,C,Texas
Al-Farouq,Aminu,6,9,220,2010,9/21/1990,USA,8,8,F,Wake Forest
Justin,Anderson,6,6,230,2015,11/19/1993,USA,3,1,G-F,Virginia
Kyle,Anderson,6,9,230,2014,9/20/1993,USA,4,1,F,UCLA
Ryan,Anderson,6,10,240,2008,5/6/1988,USA,10,15,F,California
Ike,Anigbogu,6,10,250,2017,10/16/1998,USA,1,13,C,California-Los Angeles
Giannis,Antetokounmpo,6,11,242,2013,12/6/1994,Greece,5,34,F,Greece
Kostas,Antetokounmpo,6,10,200,,11/20/1997,Greece,0,37,F,Dayton
Carmelo,Anthony,6,8,240,2003,5/29/1984,USA,15,7,F,Syracuse
OG,Anunoby,6,8,232,2017,7/17/1997,United Kingdom,1,3,F,Indiana
Ryan,Arcidiacono,6,3,200,2017,3/26/1994,USA,1,51,G,Villanova
Trevor,Ariza,6,8,215,2004,6/30/1985,USA,14,3,F,UCLA
Omer,Asik,7,0,255,2010,7/4/1986,Turkey,8,3,C,Turkey
D.J.,Augustin,6,0,183,2008,11/10/1987,USA,10,14,G,Texas
Deandre,Ayton,7,1,250,2018,7/23/1998,Bahamas,0,22,C,Arizona
Dwayne,Bacon,6,7,221,2017,8/30/1995,USA,1,7,G-F,Florida State
Marvin,Bagley III,6,11,234,2018,3/14/1999,USA,0,35,F,Duke
Ron,Baker,6,4,220,2016,3/30/1993,USA,2,31,G,Wichita State
Wade,Baldwin IV,6,4,200,2016,3/29/1996,USA,2,2,G,Vanderbilt
Lonzo,Ball,6,6,190,2017,10/27/1997,USA,1,2,G,California-Los Angeles
Mohamed,Bamba,7,0,221,2018,5/12/1998,USA,0,5,C,Texas
J.J.,Barea,6,0,185,2006,6/26/1984,Puerto Rico,12,5,G,Northeastern
Harrison,Barnes,6,8,225,2012,5/30/1992,USA,6,40,F,North Carolina
Will,Barton,6,6,190,2012,1/6/1991,USA,6,5,G,Memphis
Keita,Bates-Diop,6,9,229,,1/23/1996,USA,0,33,F,Ohio State
Nicolas,Batum,6,8,200,2008,12/14/1988,France,10,5,G-F,"Lisieux, France"
Jerryd,Bayless,6,3,200,2008,8/20/1988,USA,10,0,G,Arizona
Aron,Baynes,6,10,260,2012,12/9/1986,Australia,6,46,F-C,Washington State
Kent,Bazemore,6,5,201,2012,7/1/1989,USA,6,24,G,Old Dominion
Bradley,Beal,6,5,207,2012,6/28/1993,USA,6,3,G,Florida
Malik,Beasley,6,5,195,2016,11/26/1996,USA,2,25,G,Florida State
Michael,Beasley,6,9,235,2008,1/9/1989,USA,10,11,F,Kansas State
Marco,Belinelli,6,5,210,2007,3/25/1986,Italy,11,18,G-F,"Bologna, Italy"
Jordan,Bell,6,9,224,2017,1/7/1995,USA,1,2,F,Oregon
DeAndre',Bembry,6,6,210,2016,7/4/1994,USA,2,95,F,Saint Joseph's
Dragan,Bender,7,1,225,2016,11/17/1997,Croatia,2,35,F,
Davis,Bertans,6,10,225,2016,11/12/1992,Latvia,2,42,F,
Patrick,Beverley,6,1,185,2012,7/12/1988,USA,6,21,G,Arkansas
Khem,Birch,6,9,233,2017,9/28/1992,Canada,1,24,C,Nevada-Las Vegas
Jabari,Bird,6,6,198,2017,7/3/1994,USA,1,26,G,California
Bismack,Biyombo,6,9,255,2011,8/28/1992,Democratic Republic of the Congo,7,8,C,"Lubumbashi, DR Congo"
Nemanja,Bjelica,6,10,234,2015,5/9/1988,Serbia,3,88,F,
Antonio,Blakeney,6,4,192,2017,10/4/1996,USA,1,9,G,Louisiana State
Eric,Bledsoe,6,1,205,2010,12/9/1989,USA,8,6,G,Kentucky
Trevon,Bluiett,6,6,198,,11/4/1994,USA,0,5,G-F,Xavier (Ohio)
Bogdan,Bogdanovic,6,6,205,2017,8/18/1992,Serbia,1,8,G,
Bojan,Bogdanovic,6,8,216,2014,4/18/1989,Croatia,4,44,F,
Jonah,Bolden,6,10,220,2018,1/2/1996,Australia,0,43,F,
Isaac,Bonga,6,8,180,,11/8/1999,Germany,0,17,G,
Devin,Booker,6,6,210,2015,10/30/1996,USA,3,1,G,Kentucky
Chris,Boucher,6,10,200,2017,1/11/1993,Canada,1,25,F,Oregon
Avery,Bradley,6,2,180,2010,11/26/1990,USA,8,11,G,Texas
Tony,Bradley,6,10,248,2017,1/8/1998,USA,1,13,C,North Carolina
Mikal,Bridges,6,7,210,2018,8/30/1996,USA,0,25,F,Villanova
Miles,Bridges,6,7,225,2018,3/21/1998,USA,0,0,F,Michigan State
Isaiah,Briscoe,6,3,215,,4/13/1996,USA,0,13,G,
Ryan,Broekhoff,6,7,215,2018,8/23/1990,Australia,0,45,G-F,
Malcolm,Brogdon,6,5,229,2016,12/11/1992,USA,2,13,G,Virginia
