brands,prices,names
XFX,799.99,XFX Radeon Pro Duo R9-PROD-8VRW 8GB 4096-Bit HBM PCI Express 3.0 CrossFireX Support Video Card
EVGA,589.99,"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 08G-P4-6183-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC)"
XFX,229.99,XFX Radeon RS RX 480 DirectX 12 RX-480P836BM 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
Sapphire Tech,189.99,SAPPHIRE NITRO Radeon RX 480 DirectX 12 100406NT4GOCL 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
GIGABYTE,179.99,GIGABYTE Radeon RX 470 G1 Gaming 4GB GV-RX470G1 GAMING-4GD
EVGA,0,"EVGA GeForce GTX 1050 FTW GAMING ACX 3.0, 02G-P4-6157-KR, 2GB GDDR5, DX12 OSD Support (PXOC)"
Sapphire Tech,169.99,SAPPHIRE Radeon RX 470 DirectX 12 100407-4GOCL 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card
XFX,259.99,XFX Radeon GTR RX 480 DirectX 12 RX-480P8DBA6 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Black Edition Video Card
Sapphire Tech,0,SAPPHIRE NITRO+ Radeon RX 480 100406NT+8GL 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card
GIGABYTE,375.99,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070WF2OC-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards
XFX,0,XFX Radeon RX 480 DirectX 12 RX480M8BFA6 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
ASUS,304.05,ASUS ROG Radeon RX 480 STRIX-RX480-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card
"PNY Technologies, Inc.",259.99,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card
EVGA,149.99,"EVGA GeForce GTX 1050 Ti GAMING, 04G-P4-6251-KR, 4GB GDDR5, DX12 OSD Support (PXOC)"
