,appid,icon_url,logo_url,minutes_played,names
0,10,http://media.steampowered.com/steamcommunity/public/images/apps/10/6b0312cda02f5f777efa2f3318c307ff9acafbb5.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/10/af890f848dd606ac2fd4415de3c3f5e7a66fcb9f.jpg,0,Counter-Strike
1,20,http://media.steampowered.com/steamcommunity/public/images/apps/20/38ea7ebe3c1abbbbf4eabdbef174c41a972102b9.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/20/515bc393c861d91b9165f0697040c015f50bcb5e.jpg,0,Team Fortress Classic
2,30,http://media.steampowered.com/steamcommunity/public/images/apps/30/aadc0ce51ff6ba2042d633f8ec033b0de62091d0.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/30/beff21c4d29d2579e794c930bae599cd0c8a8f17.jpg,0,Day of Defeat
3,40,http://media.steampowered.com/steamcommunity/public/images/apps/40/c525f76c8bc7353db4fd74b128c4ae2028426c2a.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/40/4bb69695ef9d0ae73e73488fb6456aa4ea1215fa.jpg,0,Deathmatch Classic
4,50,http://media.steampowered.com/steamcommunity/public/images/apps/50/04e81206c10e12416908c72c5f22aad411b3aeef.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/50/bb696ddfd8f8ef0892d5f2154d8617528d3cc2ec.jpg,0,Half-Life: Opposing Force
5,60,http://media.steampowered.com/steamcommunity/public/images/apps/60/98c69e04cd59b838e05cb6980c12c05874c6419e.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/60/f7a039402735c2dea82cbd412340873535e2be4c.jpg,0,Ricochet
6,70,http://media.steampowered.com/steamcommunity/public/images/apps/70/95be6d131fc61f145797317ca437c9765f24b41c.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/70/6bd76ff700a8c7a5460fbae3cf60cb930279897d.jpg,0,Half-Life
7,130,http://media.steampowered.com/steamcommunity/public/images/apps/130/b06fdee488b3220362c11704be4edad82abeed08.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/130/927d38e83e3e4ca218a0fc7b32515eeb99aa8ff7.jpg,159,Half-Life: Blue Shift
8,220,http://media.steampowered.com/steamcommunity/public/images/apps/220/fcfb366051782b8ebf2aa297f3b746395858cb62.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/220/e4ad9cf1b7dc8475c1118625daf9abd4bdcbcad0.jpg,0,Half-Life 2
9,240,http://media.steampowered.com/steamcommunity/public/images/apps/240/9052fa60c496a1c03383b27687ec50f4bf0f0e10.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/240/ee97d0dbf3e5d5d59e69dc20b98ed9dc8cad5283.jpg,0,Counter-Strike: Source
10,280,http://media.steampowered.com/steamcommunity/public/images/apps/280/b4f572a6cc5a6a84ae84634c31414b9123d2f26b.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/280/a612dd944b768e55389140298dcfda2165db8ced.jpg,0,Half-Life: Source
11,320,http://media.steampowered.com/steamcommunity/public/images/apps/320/795e85364189511f4990861b578084deef086cb1.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/320/6dd9f66771300f2252d411e50739a1ceae9e5b30.jpg,0,Half-Life 2: Deathmatch
12,340,http://media.steampowered.com/steamcommunity/public/images/apps/340/795e85364189511f4990861b578084deef086cb1.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/340/867cce5c4f37d5ed4aeffb57c60e220ddffe4134.jpg,0,Half-Life 2: Lost Coast
13,360,http://media.steampowered.com/steamcommunity/public/images/apps/360/40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/360/9a5b7119d4e8977fffcd370d3c24036be7cee904.jpg,0,Half-Life Deathmatch: Source
14,380,http://media.steampowered.com/steamcommunity/public/images/apps/380/795e85364189511f4990861b578084deef086cb1.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/380/b5a666a961d8b39896887abbed3b78c2b837c238.jpg,0,Half-Life 2: Episode One
15,3830,http://media.steampowered.com/steamcommunity/public/images/apps/3830/460b6471db7d83ee6943c1a87f7a9f2898634952.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/3830/b361ab26b2c47d4abd11be0ebd3d6b675512ec1b.jpg,0,Psychonauts
16,4560,http://media.steampowered.com/steamcommunity/public/images/apps/4560/64946619217da497c9b29bc817bb40dd7d28c912.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/4560/e12e8695c6766b47a089351dd9c4531e669c2a7b.jpg,0,Company of Heroes
17,228200,http://media.steampowered.com/steamcommunity/public/images/apps/228200/df92dc239acb3cf5d3e3eba645f3df2aaf7f91ad.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/228200/87aa009e93d5aa56a55d0e9056708d018ddd6483.jpg,0,Company of Heroes (New Steam Version)
18,400,http://media.steampowered.com/steamcommunity/public/images/apps/400/cfa928ab4119dd137e50d728e8fe703e4e970aff.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/400/4184d4c0d915bd3a45210667f7b25361352acd8f.jpg,0,Portal
19,420,http://media.steampowered.com/steamcommunity/public/images/apps/420/795e85364189511f4990861b578084deef086cb1.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/420/553e6a2e7a469dcbaada729baa1f5fd7764668df.jpg,0,Half-Life 2: Episode Two
20,7940,http://media.steampowered.com/steamcommunity/public/images/apps/7940/b40c43b0b14b7e124553e0220581a1b9ef8e38bf.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/7940/a4bd2ef1a993631ca1290a79bd0dd090349ff3e2.jpg,307,Call of Duty 4: Modern Warfare
21,13210,http://media.steampowered.com/steamcommunity/public/images/apps/13210/de312a41b8a0b8fd6e1f0490ab0b44416c53cc61.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/13210/ba0a5c14642ab3337bf09d1d3df5e076a771ee32.jpg,544,Unreal Tournament 3: Black Edition
22,15170,http://media.steampowered.com/steamcommunity/public/images/apps/15170/487af5c9a91b6a0ac4615954a41d9209d69368f2.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/15170/7392e2e925bceb525fce7bc5543ec597d7fa403f.jpg,272,Heroes of Might & Magic V
23,12750,http://media.steampowered.com/steamcommunity/public/images/apps/12750/c9367af908a9527040b41f6323aee4507bcba722.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/12750/4d703d465e6e83f272ff07b3b9636fe52f2e9a19.jpg,342,GRID
24,19900,http://media.steampowered.com/steamcommunity/public/images/apps/19900/c73f0c967f77518128c6f2a3f0c4069ff49b1441.jpg,http://media.steampowered.com/steamcommunity/public/images/apps/19900/3fa04cb86e9512e8ff4f520860db163e86243dd8.jpg,142,Far Cry 2
