,names,geek rating,avg rating,num votes,year,thumb_url
1,The Great Pendragon Campaign,8.296,9.00,118,2006,http:https://cf.geekdo-images.com/micro/img/egj8HhACpAr036VjE7BSeYf1NLQ=/fit-in/64x64/pic563154.jpg
2,Delta Green,8.213,8.58,243,1996,http:https://cf.geekdo-images.com/micro/img/G0LQz8Ymlu2MaVi1HkY2NY8d6Jc=/fit-in/64x64/pic503001.jpg
3,Masks of Nyarlathotep (3rd & 4th edition),8.173,8.54,214,1996,http:https://cf.geekdo-images.com/micro/img/NGNqBvAiY5XXPucD7ABC9qla1tA=/fit-in/64x64/pic879954.jpg
4,Player's Handbook (D&D 5e),8.163,8.48,578,2014,http:https://cf.geekdo-images.com/micro/img/-bnDr5hGFgZFTxjz14Vp7N74UgE=/fit-in/64x64/pic2197079.jpg
5,Countdown,8.145,8.73,124,1999,http:https://cf.geekdo-images.com/micro/img/ODBQ0OA8kPCu8qHCFx_FxQCAUkI=/fit-in/64x64/pic4062821.png
6,Fiasco,8.059,8.30,467,2009,http:https://cf.geekdo-images.com/micro/img/sXWDjFlKs8zH8XKP5hhrbKe8Em0=/fit-in/64x64/pic632293.jpg
7,Call of Cthulhu (6th Edition),8.048,8.33,496,2004,http:https://cf.geekdo-images.com/micro/img/NliWe46jlC2hsfMN6nIeiivu_88=/fit-in/64x64/pic613939.jpg
8,Planescape Campaign Setting,8.041,8.42,191,1994,http:https://cf.geekdo-images.com/micro/img/J7u_LntrfftSEMdZrNrWgHtVg_M=/fit-in/64x64/pic2858568.jpg
9,Call of Cthulhu (5th Edition),8.016,8.24,307,1992,http:https://cf.geekdo-images.com/micro/img/5ytWaDMj1UqmJfENd_Dj4WENGfI=/fit-in/64x64/pic529463.jpg
10,Monster Manual (D&D 5e),8.005,8.37,286,2014,http:https://cf.geekdo-images.com/micro/img/z12IGNLTMPYJOiuwn2uNqz0qAH0=/fit-in/64x64/pic2244281.jpg
11,Star Wars: Edge of the Empire Core Rulebook,7.981,8.46,290,2013,http:https://cf.geekdo-images.com/micro/img/ObJ4LEIN96VHCLjWBuxeUvyYgEk=/fit-in/64x64/pic1545989.jpg
12,Dungeon Master's Guide (D&D 5e),7.971,8.27,293,2014,http:https://cf.geekdo-images.com/micro/img/86LjbyUikBHOn6POOhxNDcO5JTs=/fit-in/64x64/pic2323623.jpg
13,Dungeons & Dragons Rules Cyclopedia,7.965,8.27,220,1991,http:https://cf.geekdo-images.com/micro/img/El6SxGKD9ld_QkyajEgriQ6j6FY=/fit-in/64x64/pic505921.jpg
14,Beyond the Mountains of Madness,7.893,8.34,127,1999,http:https://cf.geekdo-images.com/micro/img/Y6smkhszVy6_eWanwAr4kqcdTKc=/fit-in/64x64/pic508527.jpg
15,Ptolus: Monte Cook's City by the Spire,7.869,8.46,99,2006,http:https://cf.geekdo-images.com/micro/img/FERC-p5uK8YJr0jWm0FoX_lIK4U=/fit-in/64x64/pic502041.jpg
16,Trail of Cthulhu,7.869,8.13,230,2008,http:https://cf.geekdo-images.com/micro/img/8RLQwQ3Tuc8j__0DDURCtad1yTM=/fit-in/64x64/pic502019.jpg
17,Apocalypse World,7.847,8.24,194,2010,http:https://cf.geekdo-images.com/micro/img/fGcddcyleVvkAihVoHYBUHJyBsc=/fit-in/64x64/pic781415.jpg
18,King Arthur Pendragon (4th Edition),7.832,8.23,108,1993,http:https://cf.geekdo-images.com/micro/img/ZxshtFzf5WcW1jUWr8xm-PZOBsM=/fit-in/64x64/pic602464.jpg
19,The Enemy Within Campaign Volume 1: Shadows Over Bögenhafen,7.819,8.22,133,1987,http:https://cf.geekdo-images.com/micro/img/zu_MIOhC_CrTa4ww01ur2PJrtto=/fit-in/64x64/pic508035.jpg
20,Dungeon Crawl Classics Role Playing Game,7.819,8.26,196,2012,http:https://cf.geekdo-images.com/micro/img/CGel7HyzO6Hpm99_v1iOcy-9cbY=/fit-in/64x64/pic1326784.jpg
21,Monster Manual (AD&D 1e),7.798,8.01,347,1977,http:https://cf.geekdo-images.com/micro/img/4qTpbT4_3PVn62q0yx3mnYkJO6w=/fit-in/64x64/pic498201.jpg
22,Mouse Guard Roleplaying Game Box Set,7.798,8.38,96,2011,http:https://cf.geekdo-images.com/micro/img/diyLNRmeTmcobN1BXRx5DNh2ucY=/fit-in/64x64/pic1078533.jpg
23,Mouse Guard Roleplaying Game,7.797,8.05,337,2008,http:https://cf.geekdo-images.com/micro/img/G9jsCLX8CgD48jg3Id4r56PhC8Y=/fit-in/64x64/pic502015.jpg
24,King Arthur Pendragon (5th Edition),7.780,8.37,95,2005,http:https://cf.geekdo-images.com/micro/img/C_Y_FnxZNtBoTDgfbDgBGc0Gktw=/fit-in/64x64/pic563157.jpg
25,Power Behind the Throne,7.780,8.40,98,1988,http:https://cf.geekdo-images.com/micro/img/WCUXDAT2Zi7dW32DqPJfiYxsEec=/fit-in/64x64/pic508014.jpg
26,Guide to Glorantha (Two Volume Set),7.774,9.59,40,2014,http:https://cf.geekdo-images.com/micro/img/ZMCEvUF28P7t8cEZXKadlfvkgkA=/fit-in/64x64/pic2063549.jpg
27,Keeper Rulebook,7.773,8.67,77,2014,http:https://cf.geekdo-images.com/micro/img/wnNDjpCenoFLX8EmoBaXKdCTWT4=/fit-in/64x64/pic2866746.png
28,Dungeon Masters Guide (AD&D 1e),7.766,7.99,417,1979,http:https://cf.geekdo-images.com/micro/img/mipsd4eG4o5payLF9A5Zlc7L7Yo=/fit-in/64x64/pic501619.jpg
29,Dungeon World Roleplaying Game,7.762,8.05,264,2012,http:https://cf.geekdo-images.com/micro/img/VH0y-s0bIAnB_YqWGLh_TRP6oRI=/fit-in/64x64/pic1475666.jpg
30,Fate Core System,7.737,8.03,301,2013,http:https://cf.geekdo-images.com/micro/img/vSBizhkYCrZ1zNjokbTx3biFAL0=/fit-in/64x64/pic1671304.png
31,Dungeons & Dragons Basic Set (Second Edition),7.724,8.06,219,1981,http:https://cf.geekdo-images.com/micro/img/j_AwKmYg2K_R1wGACKBS0Xmk--U=/fit-in/64x64/pic504099.jpg
32,Pathfinder Roleplaying Game: Beginner Box,7.708,8.19,230,2011,http:https://cf.geekdo-images.com/micro/img/4EE4RTcPcBF-VqNwwymAXuMmDEE=/fit-in/64x64/pic2040767.jpg
33,The Enemy Within Campaign Volume 2: Death on the Reik,7.691,8.19,126,1987,http:https://cf.geekdo-images.com/micro/img/utSYl4XmA_W_sN5xWLx9Pe2QepE=/fit-in/64x64/pic3893382.jpg
34,Pathfinder Roleplaying Game Bestiary,7.687,7.99,206,2009,http:https://cf.geekdo-images.com/micro/img/IwTMNzhw6omq_YDms8zF0vONQ3s=/fit-in/64x64/pic587062.jpg
35,Call of Cthulhu (3rd Edition),7.683,8.12,110,1986,http:https://cf.geekdo-images.com/micro/img/fWt6YaB0TXSahcESLapkNg6AMyo=/fit-in/64x64/pic3176002.png
36,Pathfinder Roleplaying Game Core Rulebook,7.679,7.93,638,2009,http:https://cf.geekdo-images.com/micro/img/bnl11XuGidFbZqUX-q2hhX_GWuU=/fit-in/64x64/pic950558.jpg
37,Dogs in the Vineyard,7.676,7.99,243,2004,http:https://cf.geekdo-images.com/micro/img/G7cUVKvPiaZo4DU561CBA7UYtfU=/fit-in/64x64/pic2455572.jpg
38,"The Dresden Files Roleplaying Game, Volume 1: Your Story",7.673,8.14,201,2010,http:https://cf.geekdo-images.com/micro/img/zs8v1eMNeozVTfvsi6KvjzZZJcA=/fit-in/64x64/pic694726.jpg
39,The Inner Sea World Guide,7.673,8.08,100,2011,http:https://cf.geekdo-images.com/micro/img/GTvKoV7sMO6ZAmjKfaZRNmeQH6Y=/fit-in/64x64/pic1184040.jpg
40,Warhammer Fantasy Roleplay,7.664,8.00,296,2005,http:https://cf.geekdo-images.com/micro/img/334t5njQoW8fUN-1xpVJ_YZkreg=/fit-in/64x64/pic498553.jpg
41,Microscope,7.645,8.04,160,2011,http:https://cf.geekdo-images.com/micro/img/Zok03WBx-58AY7Cb6QZ5mDoh0iU=/fit-in/64x64/pic931213.jpg
42,Players Handbook (AD&D 1e),7.643,7.88,416,1978,http:https://cf.geekdo-images.com/micro/img/JxbtaWc5qfgS-pyeJ-uiuGS9fQQ=/fit-in/64x64/pic498210.jpg
43,Masks of Nyarlathotep (1st & 2nd edition),7.641,8.24,90,1984,http:https://cf.geekdo-images.com/micro/img/sNYMc5f0OeXcjFqu7f8k3cDFDq0=/fit-in/64x64/pic2331966.jpg
44,Hacklopedia of Beasts (HackMaster 5th Edition),7.638,9.04,87,2011,http:https://cf.geekdo-images.com/micro/img/CTLGOtCr1-Wigz_Ht6njbStXnV0=/fit-in/64x64/pic1504536.png
45,I6: Ravenloft,7.629,8.02,158,1983,http:https://cf.geekdo-images.com/micro/img/D9N1Srez6MsbTLfjJziJiEumVps=/fit-in/64x64/pic517337.jpg
46,D&D Character Builder (Classic Edition),7.616,8.04,111,2008,http:https://cf.geekdo-images.com/micro/img/22Oul4D3g3zgdC8mu9zO_nAjPkU=/fit-in/64x64/pic517372.jpg
47,Horror on the Orient Express,7.607,8.05,116,1991,http:https://cf.geekdo-images.com/micro/img/u4CV9dKu6Kb9xehz26kXlN6FCIY=/fit-in/64x64/pic508097.jpg
48,Dungeons & Dragons Starter Set,7.604,8.10,259,2014,http:https://cf.geekdo-images.com/micro/img/u9zUtcPB4A13iYqU1isWVNhqBMU=/fit-in/64x64/pic2073834.jpg
49,Traveller Boxed Set,7.600,8.03,161,1977,http:https://cf.geekdo-images.com/micro/img/DUuqSVukO_7N7AwJhUNSq3n5-0g=/fit-in/64x64/pic514176.jpg
50,Legend of the Five Rings 4th Edition RPG,7.598,8.23,106,2010,http:https://cf.geekdo-images.com/micro/img/Du7_PdoOeafFSPOqxrKPSD2UKdI=/fit-in/64x64/pic708464.jpg
51,Savage Worlds Deluxe Explorer's Edition,7.592,8.07,104,2012,http:https://cf.geekdo-images.com/micro/img/3tMR0vK52wwGa2vF4PEf8GnZIxc=/fit-in/64x64/pic1434105.png
52,The Star Wars Roleplaying Game - Revised Edition,7.579,7.96,178,1996,http:https://cf.geekdo-images.com/micro/img/0zsvYtJhMPZl30XkTwH-tX_m4BY=/fit-in/64x64/pic504149.jpg
53,Dark Sun Boxed Set,7.560,7.84,157,1991,http:https://cf.geekdo-images.com/micro/img/CFvSX-4_qXaj-WgO8iR65G2Dufs=/fit-in/64x64/pic561588.jpg
54,Eyes Only,7.549,8.19,62,2007,http:https://cf.geekdo-images.com/micro/img/bfZgvLQrtk5N0tbvrIPDg-cuCf8=/fit-in/64x64/pic4062835.png
55,Advanced Player's Guide,7.545,7.87,191,2010,http:https://cf.geekdo-images.com/micro/img/t3RR105uVHGJ3r3HnG21RcnZhfc=/fit-in/64x64/pic729299.jpg
56,Fate Accelerated,7.542,7.92,169,2013,http:https://cf.geekdo-images.com/micro/img/4Gv0yAmiScZ_qIa_F2A5JfZLmno=/fit-in/64x64/pic1669106.jpg
